sunrise,12.27361111111111
sunset,22.031111111111112
work_start,14.259722222222223
work_end,22.259722222222223
sunrise,12.27361111111111
sunset,22.031111111111112
work_start,14.259722222222223
work_end,22.259722222222223
sunrise,12.27361111111111
sunset,22.031111111111112
work_start,14.259722222222223
work_end,22.259722222222223
sunrise,12.27361111111111
sunset,22.031111111111112
work_start,14.259722222222223
work_end,22.259722222222223
sunrise,12.27361111111111
sunset,22.031111111111112
work_start,14.259722222222223
work_end,22.259722222222223
